,Unnamed: 0,datetime_local,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,visibility,icon,summary
22,22,2019-10-01 22:00:00,0.06,28.76,27,1,21.66,47,3.03,6.48,1009.27,0,276.4,0.06,0.01,16.09,clear-night,Clear
23,23,2019-10-01 23:00:00,0.03,27.97,26,1,21.85,69,3.28,6.7,1009.67,0,276.1,0.0,0.0,16.09,clear-night,Clear
24,24,2019-10-02 00:00:00,0.0,26.35,26,1,20.53,85,3.13,6.29,1010.06,0,275.6,0.0,0.0,16.09,clear-night,Clear
25,25,2019-10-02 01:00:00,0.0,26.11,26,1,20.9,96,2.7,5.81,1009.86,0,275.6,0.0,0.0,16.09,clear-night,Clear
26,26,2019-10-02 02:00:00,0.0,25.82,25,1,20.79,116,2.22,5.19,1009.67,0,275.6,0.0,0.0,16.09,clear-night,Clear
27,27,2019-10-02 03:00:00,0.0,25.34,25,1,20.56,122,1.86,4.75,1009.59,0,275.8,0.0,0.0,16.09,clear-night,Clear
28,28,2019-10-02 04:00:00,0.0,24.62,24,1,20.33,113,1.6,4.56,1009.63,0,276.2,0.0,0.0,16.09,clear-night,Clear
29,29,2019-10-02 05:00:00,0.0,24.02,23,1,20.24,105,1.26,3.52,1010.06,0,277.0,0.0,0.0,16.09,clear-night,Clear
30,30,2019-10-02 06:00:00,0.0,24.61,24,1,20.6,119,1.06,2.44,1010.52,0,277.9,0.01,0.01,16.09,clear-night,Clear
31,31,2019-10-02 07:00:00,0.0,25.44,25,1,21.13,128,1.1,2.28,1010.91,0,278.4,0.03,0.01,16.09,clear-day,Clear
32,32,2019-10-02 08:00:00,0.0,26.24,26,1,21.43,137,1.11,2.17,1011.65,1,278.6,0.05,0.01,16.09,clear-day,Clear
33,33,2019-10-02 09:00:00,0.0,29.17,27,1,21.71,154,1.1,1.97,1012.16,3,277.9,0.05,0.01,16.09,clear-day,Clear
34,34,2019-10-02 10:00:00,0.1,30.83,28,1,21.62,67,1.19,1.66,1012.18,5,276.2,0.03,0.01,16.09,clear-day,Clear
35,35,2019-10-02 11:00:00,0.21,31.98,29,1,21.19,6,1.59,1.69,1011.88,7,275.2,0.02,0.01,16.09,partly-cloudy-day,Partly Cloudy
36,36,2019-10-02 12:00:00,0.24,32.8,30,1,20.75,10,2.0,2.0,1011.26,8,275.1,0.01,0.01,16.09,partly-cloudy-day,Partly Cloudy
37,37,2019-10-02 13:00:00,0.23,33.53,31,1,20.27,16,2.15,2.15,1010.36,8,275.1,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
38,38,2019-10-02 14:00:00,0.2,34.31,32,0,19.85,17,2.24,2.51,1009.28,6,275.3,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
39,39,2019-10-02 15:00:00,0.16,35.03,33,0,19.64,15,2.33,2.97,1008.4,4,275.6,0.01,0.01,16.09,partly-cloudy-day,Partly Cloudy
40,40,2019-10-02 16:00:00,0.07,35.0,33,0,19.05,9,2.37,3.22,1007.83,2,276.1,0.01,0.01,16.09,clear-day,Clear
41,41,2019-10-02 17:00:00,0.04,34.37,33,0,18.76,5,2.13,2.95,1007.88,1,276.0,0.01,0.01,16.09,clear-day,Clear
42,42,2019-10-02 18:00:00,0.01,33.81,32,0,19.34,12,1.91,2.99,1008.26,0,275.6,0.0,0.0,16.09,clear-day,Clear
43,43,2019-10-02 19:00:00,0.0,32.63,31,1,19.85,21,1.84,4.02,1008.47,0,275.8,0.0,0.0,16.09,clear-night,Clear
44,44,2019-10-02 20:00:00,0.04,30.95,29,1,19.78,32,1.8,5.07,1008.76,0,275.8,0.0,0.0,16.09,clear-night,Clear
45,45,2019-10-02 21:00:00,0.14,29.96,28,1,20.03,53,1.9,5.92,1009.05,0,275.0,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
46,46,2019-10-02 22:00:00,0.2,29.28,28,1,20.39,85,2.1,6.63,1009.11,0,273.3,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
47,47,2019-10-02 23:00:00,0.27,28.49,27,1,20.52,115,2.14,6.68,1009.13,0,272.1,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
48,48,2019-10-03 00:00:00,0.45,27.82,26,1,20.54,136,2.06,6.31,1008.95,0,271.9,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
49,49,2019-10-03 01:00:00,0.55,26.47,26,1,20.82,142,2.04,6.02,1008.84,0,272.4,0.0,0.0,16.09,partly-cloudy-night,Mostly Cloudy
50,50,2019-10-03 02:00:00,0.47,26.1,26,1,20.63,143,1.89,5.58,1008.9,0,273.2,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
51,51,2019-10-03 03:00:00,0.47,25.61,25,1,20.35,135,1.84,5.13,1008.88,0,273.7,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
52,52,2019-10-03 04:00:00,0.53,24.82,24,1,20.04,121,1.88,4.66,1009.12,0,274.0,0.0,0.0,16.09,partly-cloudy-night,Mostly Cloudy
53,53,2019-10-03 05:00:00,0.59,24.82,24,1,19.98,109,2.0,4.31,1009.53,0,274.4,0.0,0.0,16.09,partly-cloudy-night,Mostly Cloudy
54,54,2019-10-03 06:00:00,0.53,25.47,25,1,20.25,99,1.88,3.32,1009.8,0,273.4,0.0,0.0,16.09,partly-cloudy-night,Mostly Cloudy
55,55,2019-10-03 07:00:00,0.44,25.9,25,1,20.77,104,1.68,2.58,1010.45,0,272.3,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
56,56,2019-10-03 08:00:00,0.47,27.83,26,1,21.2,121,1.8,2.79,1010.98,1,272.4,0.01,0.02,16.09,partly-cloudy-day,Partly Cloudy
57,57,2019-10-03 09:00:00,0.51,30.44,28,1,21.28,129,1.73,2.75,1011.29,3,272.7,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
58,58,2019-10-03 10:00:00,0.73,32.39,30,1,20.75,126,1.84,2.55,1011.29,4,273.0,0.04,0.02,16.09,partly-cloudy-day,Mostly Cloudy
59,59,2019-10-03 11:00:00,0.83,32.84,31,1,20.14,105,2.01,2.55,1011.25,5,274.1,0.42,0.06,16.09,partly-cloudy-day,Mostly Cloudy
60,60,2019-10-03 12:00:00,0.75,33.04,31,1,19.59,88,1.71,2.51,1010.6,6,275.1,0.34,0.04,16.09,partly-cloudy-day,Mostly Cloudy
61,61,2019-10-03 13:00:00,0.68,34.2,33,0,18.89,44,1.54,2.21,1009.79,6,274.9,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
62,62,2019-10-03 14:00:00,0.62,35.41,34,0,18.37,358,1.67,2.0,1009.11,5,274.6,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
63,63,2019-10-03 15:00:00,0.59,36.34,35,0,17.99,347,1.68,1.95,1008.39,4,274.7,0.01,0.01,16.09,partly-cloudy-day,Mostly Cloudy
64,64,2019-10-03 16:00:00,0.58,35.03,34,0,17.15,344,1.79,2.03,1007.86,2,275.3,0.03,0.01,16.09,partly-cloudy-day,Mostly Cloudy
65,65,2019-10-03 17:00:00,0.61,33.15,33,0,16.75,349,2.32,2.46,1007.77,0,275.2,0.05,0.02,16.09,partly-cloudy-day,Mostly Cloudy
66,66,2019-10-03 18:00:00,0.31,32.29,31,0,17.98,25,2.79,3.55,1008.01,0,274.6,0.06,0.04,16.09,partly-cloudy-day,Partly Cloudy
67,67,2019-10-03 19:00:00,0.0,31.33,30,1,19.22,68,2.87,5.24,1008.6,0,274.3,0.03,0.03,16.09,clear-night,Clear
68,68,2019-10-03 20:00:00,0.01,30.54,29,1,19.19,92,2.95,6.91,1009.05,0,273.9,0.0,0.0,16.09,clear-night,Clear
69,69,2019-10-03 21:00:00,0.0,29.91,28,1,19.37,115,3.12,7.83,1009.2,0,273.2,0.0,0.0,16.09,clear-night,Clear
70,70,2019-10-03 22:00:00,0.0,29.36,28,1,19.52,137,3.4,8.17,1009.66,0,272.2,0.0,0.0,16.09,clear-night,Clear
71,71,2019-10-03 23:00:00,0.0,28.6,27,1,19.58,154,3.3,6.93,1010.29,0,272.1,0.01,0.02,16.09,clear-night,Clear
72,72,2019-10-04 00:00:00,0.0,27.7,26,1,19.57,164,2.92,5.84,1010.36,0,272.7,0.01,0.02,16.09,clear-night,Clear
73,73,2019-10-04 01:00:00,0.0,26.28,26,1,19.62,171,2.57,6.39,1009.78,0,273.0,0.0,0.0,16.09,clear-night,Clear
74,74,2019-10-04 02:00:00,0.0,25.61,25,1,19.24,175,2.23,6.84,1009.25,0,273.6,0.0,0.0,16.09,clear-night,Clear
75,75,2019-10-04 03:00:00,0.02,24.79,24,1,18.95,173,2.18,6.77,1009.12,0,274.4,0.0,0.0,16.09,clear-night,Clear
76,76,2019-10-04 04:00:00,0.07,24.05,24,1,18.84,164,2.43,6.27,1009.41,0,275.6,0.0,0.0,16.09,clear-night,Clear
77,77,2019-10-04 05:00:00,0.15,24.18,24,1,18.84,155,2.58,5.18,1010.07,0,276.2,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
78,78,2019-10-04 06:00:00,0.33,24.63,24,1,18.88,139,2.48,3.89,1011.08,0,276.3,0.01,0.02,16.09,partly-cloudy-night,Partly Cloudy
79,79,2019-10-04 07:00:00,0.62,24.92,25,1,19.14,96,2.24,2.84,1012.01,0,276.3,0.08,0.03,16.09,partly-cloudy-day,Mostly Cloudy
80,80,2019-10-04 08:00:00,0.91,25.5,25,1,19.5,40,2.02,2.13,1012.47,1,276.1,0.19,0.05,16.09,cloudy,Overcast
81,81,2019-10-04 09:00:00,1.0,27.84,27,1,19.58,5,2.09,2.09,1012.62,2,275.5,0.19,0.05,16.09,cloudy,Overcast
82,82,2019-10-04 10:00:00,1.0,29.79,28,1,19.26,356,2.41,2.41,1012.41,3,274.5,0.08,0.03,16.09,cloudy,Overcast
83,83,2019-10-04 11:00:00,1.0,31.47,30,1,18.86,7,2.97,3.01,1012.23,4,274.6,0.01,0.02,16.09,cloudy,Overcast
84,84,2019-10-04 12:00:00,0.87,32.61,31,0,18.46,14,3.39,3.44,1011.79,5,275.2,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
85,85,2019-10-04 13:00:00,0.51,33.21,32,0,17.91,11,3.46,3.46,1010.62,6,275.1,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
86,86,2019-10-04 14:00:00,0.15,33.57,33,0,17.31,8,3.45,3.45,1009.51,6,275.0,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
87,87,2019-10-04 15:00:00,0.0,33.75,33,0,16.77,6,3.42,3.42,1008.79,4,275.0,0.0,0.0,16.09,clear-day,Clear
88,88,2019-10-04 16:00:00,0.03,33.55,34,0,15.85,4,3.37,3.37,1008.42,2,275.2,0.0,0.0,16.09,clear-day,Clear
89,89,2019-10-04 17:00:00,0.06,33.0,33,0,15.71,6,3.22,3.22,1008.57,0,275.4,0.01,0.01,16.09,clear-day,Clear
90,90,2019-10-04 18:00:00,0.07,31.18,31,0,17.4,20,3.01,3.01,1009.45,0,275.5,0.01,0.01,16.09,clear-day,Clear
91,91,2019-10-04 19:00:00,0.04,29.44,28,1,18.51,31,2.62,2.65,1010.06,0,275.8,0.01,0.01,16.09,clear-night,Clear
92,92,2019-10-04 20:00:00,0.01,28.83,28,1,18.08,31,2.15,2.43,1010.19,0,276.0,0.01,0.01,16.09,clear-night,Clear
93,93,2019-10-04 21:00:00,0.0,28.23,27,1,18.13,39,1.85,2.48,1010.31,0,276.1,0.0,0.0,16.09,clear-night,Clear
94,94,2019-10-04 22:00:00,0.0,27.62,27,1,18.41,55,1.7,2.48,1010.37,0,276.3,0.0,0.0,16.09,clear-night,Clear
95,95,2019-10-04 23:00:00,0.0,26.12,26,1,18.5,54,1.56,2.32,1010.44,0,277.3,0.0,0.0,16.09,clear-night,Clear
96,96,2019-10-05 00:00:00,0.0,25.6,25,1,20.14,36,1.37,2.16,1010.4,0,278.1,0.0,0.0,16.09,clear-night,Clear
97,97,2019-10-05 01:00:00,0.0,24.99,25,1,19.98,19,1.13,2.11,1009.76,0,277.6,0.0,0.0,16.09,clear-night,Clear
98,98,2019-10-05 02:00:00,0.0,24.34,24,1,19.68,3,0.95,2.08,1009.3,0,277.1,0.0,0.0,16.09,clear-night,Clear
99,99,2019-10-05 03:00:00,0.03,23.54,23,1,19.3,3,0.94,2.04,1009.29,0,277.0,0.0,0.0,16.09,clear-night,Clear
100,100,2019-10-05 04:00:00,0.12,22.6,22,1,18.7,13,1.09,1.99,1009.88,0,277.5,0.0,0.0,16.09,clear-night,Clear
101,101,2019-10-05 05:00:00,0.2,22.64,22,1,18.44,24,1.31,1.93,1010.57,0,278.1,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
102,102,2019-10-05 06:00:00,0.22,23.57,23,1,18.84,13,1.52,2.28,1011.27,0,278.1,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
103,103,2019-10-05 07:00:00,0.17,24.11,24,1,19.07,4,1.58,2.66,1012.07,0,278.0,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
104,104,2019-10-05 08:00:00,0.12,24.56,24,1,18.85,10,1.56,2.68,1012.49,1,278.4,0.0,0.0,16.09,clear-day,Clear
105,105,2019-10-05 09:00:00,0.17,25.99,26,1,18.55,5,1.71,2.67,1012.67,3,278.4,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
106,106,2019-10-05 10:00:00,0.31,28.52,28,1,18.16,351,2.09,2.58,1012.5,5,278.1,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
107,107,2019-10-05 11:00:00,0.47,30.22,30,0,17.68,341,2.56,2.64,1012.49,6,279.4,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
108,108,2019-10-05 12:00:00,0.61,31.56,31,0,17.21,337,2.91,2.91,1012.06,6,281.1,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
109,109,2019-10-05 13:00:00,0.74,32.54,32,0,16.88,333,3.12,3.28,1011.08,5,281.2,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
110,110,2019-10-05 14:00:00,0.83,33.36,33,0,16.61,330,3.27,3.8,1010.04,4,281.4,0.01,0.01,16.09,partly-cloudy-day,Mostly Cloudy
111,111,2019-10-05 15:00:00,0.86,33.92,34,0,16.23,333,3.35,4.02,1009.23,3,281.4,0.01,0.01,16.09,partly-cloudy-day,Mostly Cloudy
112,112,2019-10-05 16:00:00,0.81,34.14,34,0,15.45,341,3.42,3.86,1008.77,2,281.4,0.01,0.01,16.09,partly-cloudy-day,Mostly Cloudy
113,113,2019-10-05 17:00:00,0.73,33.15,33,0,16.16,352,2.82,3.29,1009.18,0,280.8,0.01,0.01,16.09,partly-cloudy-day,Mostly Cloudy
114,114,2019-10-05 18:00:00,0.6,32.04,32,0,17.29,358,2.06,2.66,1009.96,0,280.5,0.01,0.01,16.09,partly-cloudy-day,Mostly Cloudy
115,115,2019-10-05 19:00:00,0.39,30.71,30,0,17.5,352,1.78,2.28,1010.27,0,281.0,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
116,116,2019-10-05 20:00:00,0.19,29.18,28,1,17.72,347,1.56,1.98,1010.6,0,281.4,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
117,117,2019-10-05 21:00:00,0.1,28.1,27,1,17.95,356,1.63,2.06,1010.78,0,280.9,0.0,0.0,16.09,clear-night,Clear
118,118,2019-10-05 22:00:00,0.09,26.66,26,1,18.32,19,2.02,2.59,1010.89,0,279.8,0.0,0.0,16.09,clear-night,Clear
119,119,2019-10-05 23:00:00,0.06,25.9,26,1,18.76,35,2.2,2.61,1011.16,0,279.1,0.0,0.0,16.09,clear-night,Clear
120,120,2019-10-06 00:00:00,0.1,25.16,25,1,19.11,40,2.02,2.24,1011.12,0,278.8,0.01,0.01,16.09,clear-night,Clear
121,121,2019-10-06 01:00:00,0.25,24.57,24,1,19.16,37,1.72,2.11,1011.04,0,278.1,0.01,0.01,16.09,partly-cloudy-night,Partly Cloudy
122,122,2019-10-06 02:00:00,0.41,23.87,23,1,19.01,37,1.35,1.92,1010.9,0,277.6,0.01,0.01,16.09,partly-cloudy-night,Partly Cloudy
123,123,2019-10-06 03:00:00,0.54,23.0,23,1,18.64,62,1.1,1.79,1010.72,0,277.5,0.01,0.01,16.09,partly-cloudy-night,Mostly Cloudy
124,124,2019-10-06 04:00:00,0.65,22.24,22,1,18.1,107,0.96,1.69,1010.55,0,277.9,0.01,0.01,16.09,partly-cloudy-night,Mostly Cloudy
125,125,2019-10-06 05:00:00,0.72,22.18,22,1,17.63,148,0.88,1.64,1010.51,0,278.2,0.01,0.01,16.09,partly-cloudy-night,Mostly Cloudy
126,126,2019-10-06 06:00:00,0.76,23.04,23,1,18.1,87,0.82,1.17,1011.13,0,277.9,0.01,0.01,16.09,partly-cloudy-night,Mostly Cloudy
127,127,2019-10-06 07:00:00,0.81,24.16,24,1,18.71,82,0.84,0.84,1011.85,0,277.4,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
128,128,2019-10-06 08:00:00,0.84,25.12,25,1,18.51,239,0.95,1.04,1012.34,1,277.0,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
129,129,2019-10-06 09:00:00,0.86,27.53,27,1,17.99,223,1.15,1.47,1012.58,2,276.5,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
130,130,2019-10-06 10:00:00,0.87,29.17,29,1,17.14,83,1.46,1.99,1012.54,4,276.0,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
131,131,2019-10-06 11:00:00,0.88,30.67,31,0,16.32,359,1.78,2.33,1012.34,5,275.5,0.01,0.01,16.09,cloudy,Overcast
132,132,2019-10-06 12:00:00,0.91,31.94,32,0,15.7,318,2.04,2.36,1011.76,5,275.4,0.01,0.01,16.09,cloudy,Overcast
133,133,2019-10-06 13:00:00,0.95,32.89,33,0,15.04,311,2.28,2.36,1010.71,5,275.5,0.01,0.01,16.09,cloudy,Overcast
134,134,2019-10-06 14:00:00,0.99,33.3,33,0,14.42,315,2.51,2.51,1009.72,4,275.6,0.01,0.01,16.09,cloudy,Overcast
135,135,2019-10-06 15:00:00,1.0,33.49,33,0,14.15,317,2.76,2.76,1009.1,3,275.6,0.01,0.01,16.09,cloudy,Overcast
136,136,2019-10-06 16:00:00,0.98,33.58,34,0,14.14,319,3.03,3.03,1008.87,2,275.6,0.0,0.0,16.09,cloudy,Overcast
137,137,2019-10-06 17:00:00,0.97,33.06,33,0,14.47,323,3.19,3.19,1008.58,0,275.5,0.0,0.0,16.09,cloudy,Overcast
138,138,2019-10-06 18:00:00,0.96,31.67,32,0,15.89,341,3.03,3.03,1009.22,0,275.9,0.0,0.0,16.09,cloudy,Overcast
139,139,2019-10-06 19:00:00,0.98,30.34,30,0,17.38,7,2.71,2.72,1010.84,0,276.2,0.0,0.0,16.09,cloudy,Overcast
140,140,2019-10-06 20:00:00,0.99,28.95,28,1,17.42,19,2.54,2.87,1011.49,0,275.7,0.0,0.0,16.09,cloudy,Overcast
141,141,2019-10-06 21:00:00,0.99,28.01,27,1,17.64,23,2.77,3.97,1011.75,0,274.8,0.0,0.0,16.09,cloudy,Overcast
142,142,2019-10-06 22:00:00,0.99,27.37,26,1,18.01,16,3.43,5.88,1011.56,0,273.5,0.0,0.0,16.09,cloudy,Overcast
143,143,2019-10-06 23:00:00,1.0,26.09,26,1,18.4,7,4.0,7.51,1011.16,0,272.5,0.0,0.0,16.09,cloudy,Overcast
144,144,2019-10-07 00:00:00,0.98,25.08,25,1,15.61,359,4.07,8.38,1010.99,0,271.6,0.0,0.0,16.09,cloudy,Overcast
145,145,2019-10-07 01:00:00,0.95,24.5,24,1,16.05,353,3.45,7.15,1011.3,0,270.9,0.0,0.0,16.09,cloudy,Overcast
146,146,2019-10-07 02:00:00,0.91,24.18,24,1,16.36,345,2.6,4.74,1011.64,0,270.9,0.0,0.0,16.09,cloudy,Overcast
147,147,2019-10-07 03:00:00,0.9,23.54,23,1,16.53,337,2.28,4.21,1011.71,0,271.1,0.01,0.02,16.09,cloudy,Overcast
148,148,2019-10-07 04:00:00,0.9,22.69,23,1,16.57,331,2.51,5.59,1011.71,0,271.7,0.0,0.0,16.09,cloudy,Overcast
149,149,2019-10-07 05:00:00,0.9,22.41,22,1,16.73,331,2.41,5.29,1012.23,0,272.1,0.03,0.03,16.09,cloudy,Overcast
150,150,2019-10-07 06:00:00,0.92,23.22,23,1,17.14,343,2.21,4.58,1013.13,0,272.4,0.05,0.04,16.09,cloudy,Overcast
151,151,2019-10-07 07:00:00,0.96,23.82,24,1,17.57,341,2.87,5.88,1013.99,0,273.0,0.03,0.03,16.09,cloudy,Overcast
152,152,2019-10-07 08:00:00,1.0,24.05,24,1,17.86,329,3.66,6.88,1014.86,1,273.6,0.01,0.02,16.09,cloudy,Overcast
153,153,2019-10-07 09:00:00,0.97,25.34,25,1,18.12,325,3.68,6.76,1015.13,2,274.2,0.0,0.0,16.09,cloudy,Overcast
154,154,2019-10-07 10:00:00,0.87,28.08,27,1,18.2,328,2.97,5.57,1014.9,4,274.6,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
155,155,2019-10-07 11:00:00,0.72,29.85,29,1,18.11,331,2.12,3.93,1014.78,5,276.3,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
156,156,2019-10-07 12:00:00,0.64,31.36,30,0,18.12,331,1.83,2.99,1014.44,6,277.9,0.0,0.0,16.09,partly-cloudy-day,Mostly Cloudy
157,157,2019-10-07 13:00:00,0.66,32.83,32,0,18.05,326,2.2,3.04,1013.43,6,278.2,0.07,0.01,16.09,partly-cloudy-day,Mostly Cloudy
158,158,2019-10-07 14:00:00,0.67,33.29,32,0,17.77,328,2.65,3.29,1012.33,5,278.4,0.17,0.02,16.09,partly-cloudy-day,Mostly Cloudy
159,159,2019-10-07 15:00:00,0.63,32.72,32,0,17.27,355,2.88,3.5,1011.69,3,278.7,0.17,0.02,16.09,partly-cloudy-day,Mostly Cloudy
160,160,2019-10-07 16:00:00,0.52,32.08,32,0,16.63,327,2.9,3.73,1011.51,2,279.2,0.07,0.01,16.09,partly-cloudy-day,Mostly Cloudy
161,161,2019-10-07 17:00:00,0.4,30.89,31,0,16.33,278,2.83,3.98,1011.24,0,279.6,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
162,162,2019-10-07 18:00:00,0.28,30.49,30,0,16.41,311,2.83,3.64,1011.1,0,278.7,0.0,0.0,16.09,partly-cloudy-day,Partly Cloudy
163,163,2019-10-07 19:00:00,0.15,29.92,30,0,16.32,322,2.63,3.12,1011.64,0,277.4,0.0,0.0,16.09,partly-cloudy-night,Partly Cloudy
164,164,2019-10-07 20:00:00,0.04,28.5,28,0,16.03,309,2.23,3.0,1011.99,0,276.6,0.0,0.0,16.09,clear-night,Clear
165,165,2019-10-07 21:00:00,0.0,27.57,27,1,15.83,305,2.09,2.87,1012.21,0,276.0,0.0,0.0,16.09,clear-night,Clear
166,166,2019-10-07 22:00:00,0.0,26.4,26,1,15.7,307,2.17,2.7,1012.25,0,275.5,0.0,0.0,16.09,clear-night,Clear
167,167,2019-10-07 23:00:00,0.0,25.72,26,1,15.6,311,2.26,2.53,1012.02,0,275.1,0.0,0.0,16.09,clear-night,Clear
168,168,2019-10-08 00:00:00,0.0,25.09,25,1,15.19,316,2.47,3.05,1011.96,0,275.5,0.0,0.0,16.09,clear-night,Clear
169,169,2019-10-08 01:00:00,0.0,24.43,24,1,14.88,321,2.58,3.61,1011.84,0,276.2,0.0,0.0,16.09,clear-night,Clear
170,170,2019-10-08 02:00:00,0.0,23.79,24,1,14.72,327,2.42,3.54,1011.33,0,276.4,0.0,0.0,16.09,clear-night,Clear
